sourceId	namePl	nameEn	kcal	protein	fat	carbs
174030	Wołowina mielona, 90% mięsa mięsnego / 10% tłuszczu, surowa	Beef, ground, 90% lean meat / 10% fat, raw	176	20.0	10.0	0.0
171796	Wołowina mielona, 85% mięsa chudego / 15% tłuszczu, surowa (Obejmuje żywność do programu dystrybucji żywności USDA)	Beef, ground, 85% lean meat / 15% fat, raw (Includes foods for USDA's Food Distribution Program)	215	18.6	15.0	0.0
174036	Wołowina mielona, 80% mięsa mięsnego / 20% tłuszczu, surowa	Beef, ground, 80% lean meat / 20% fat, raw	254	17.2	20.0	0.0
172143	Wołowina, stek z polędwicy grzbietowej, bez kości, bez capa, sam mięsień, przycinana do 0" tłuszczu, wszystkie kategorie, surowa	Beef, rib eye steak, boneless, lip off, separable lean only, trimmed to 0" fat, all grades, raw	154	21.9	7.4	0.0
171814	Wołowina, krótka polędwica, steak z górnej części polędwicy, czysty mięsień, przystrzyżony do 1/8" tłuszczu, wszystkie gatunki, surowa	Beef, short loin, top loin steak, separable lean only, trimmed to 1/8" fat, all grades, raw	138	22.9	5.2	0.0
173998	Wołowina, podudzie, okiem podudzia pieczeń, bez kości, oddzielne mięso chude, przyciąć do 0" tłuszczu, wszystkie klasy, surowa	Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0" fat, all grades, raw	121	23.4	3.0	0.0
171767	Wołowina, lędźwie, steak z polędwicy, bez kości, tylko mięso chude, obcięty do 0" tłuszczu, wszystkie stopnie, surowy	Beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0" fat, all grades, raw	139	21.9	5.7	0.0
173400	Wołowina, stek z brzucha, bez kości, mięso i tłuszcz, przystrzyżony do 0" tłuszczu, wszystkie gatunki, surowy	Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0" fat, all grades, raw	232	18.0	17.6	0.4
168664	Wołowina, pierś cała, mięso oddzielone, tłuszcz przycięty do 1/8", wszystkie klasy, surowa	Beef, brisket, whole, separable lean and fat, trimmed to 1/8" fat, all grades, raw	253	18.4	19.1	0.6
171206	Wołowina, chuck do gulaszy, rozdzielona chuda część i tłuszcz, wszystkie kategorie, surowa	Beef, chuck for stew, separable lean and fat, all grades, raw	128	21.8	4.5	0.2
168263	Wieprzowina, świeża, lędźwie, środek (kotlety), bez kości, samo mięso, surowy	Pork, fresh, loin, center loin (chops), boneless, separable lean only, raw	123	23.8	3.1	0.0
167849	Wieprzowina, świeża, kark, (Boston butt), łopatka (sztuki), oddzielony tłuszcz i mięso, surowy	Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, raw	186	17.4	12.4	0.0
168255	Wieprzowina, świeża, bark, część przedramienia, mięso i tłuszcz, surowy	Pork, fresh, shoulder, arm picnic, separable lean and fat, raw	193	18.7	12.5	0.0
167812	Wieprzowina, świeża, brzuch, surowy	Pork, fresh, belly, raw	518	9.3	53.0	0.0
167853	Wieprzowina, świeża, żebra boczne, oddzielony tłuszcz i mięso, surowe	Pork, fresh, spareribs, separable lean and fat, raw	277	15.5	23.4	0.0
169190	Wieprzowina mielona, 96% chuda / 4% tłuszcz, surowa	Pork, ground, 96% lean / 4% fat, raw	121	21.1	4.0	0.2
168372	Wieprzowina, zmielona, 84% mięso / 16% tłuszcz, surowa	Pork, ground, 84% lean / 16% fat, raw	218	18.0	16.0	0.4
168222	Wieprzowina, świeża, noga (szynka), cała, mięso i tłuszcz, surowa	Pork, fresh, leg (ham), whole, separable lean and fat, raw	245	17.4	18.9	0.0
168312	Wieprzowina, świeża, lędźwie, polędwica, mięso i tłuszcz, surowa	Pork, fresh, loin, tenderloin, separable lean and fat, raw	120	20.7	3.5	0.0
171077	Kurczak, brojlery lub kurcze do smażenia, pierś, bez skóry, bez kości, samo mięso, surowy	Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw	120	22.5	2.6	0.0
173627	Kurczak drobiowy, ciemne mięso, udo, samo mięso, surowe	Chicken, broilers or fryers, dark meat, thigh, meat only, raw	121	19.7	4.1	0.0
172385	Kurczak, kurczęta do rożna, udo, mięso ze skórą, surowy	Chicken, broilers or fryers, thigh, meat and skin, raw	221	16.5	16.6	0.3
173614	Kurczak drobiowy, ciemne mięso, podudzie, samo mięso, surowe	Chicken, broilers or fryers, dark meat, drumstick, meat only, raw	116	19.4	3.7	0.0
172373	Kurczak, kurczęta do rożna, pałeczka, mięso ze skórą, surowy	Chicken, broilers or fryers, drumstick, meat and skin, raw	161	18.1	9.2	0.1
173619	Kurczak drobiowy, noga, samo mięso, surowe	Chicken, broilers or fryers, leg, meat only, raw	120	19.2	4.2	0.0
172378	Kurczak, kurczęta do rożna, noga, mięso ze skórą, surowy	Chicken, broilers or fryers, leg, meat and skin, raw	214	16.4	16.0	0.2
171116	Kurczak, mielony, surowy	Chicken, ground, raw	143	17.4	8.1	0.0
171447	Kurczak, mały do pieczenia, mięso ze skórą, surowy	Chicken, broilers or fryers, meat and skin, raw	215	18.6	15.1	0.0
174515	Indyk, części handlowe, pierś, samo mięso, surowy	Turkey, retail parts, breast, meat only, raw	114	23.3	2.3	0.0
171505	Mięso mielone z indyka, surowe	Turkey, Ground, raw	148	19.7	7.7	0.0
172390	Kurczak, kurczęta do rożna, skrzydło, mięso ze skórą, surowy	Chicken, broilers or fryers, wing, meat and skin, raw	191	17.5	12.9	0.0
171060	Wątroba drobiowa, wszystkie kategorie, surowa	Chicken, liver, all classes, raw	119	16.9	4.8	0.7
172410	Kaczka domowa, tylko mięso, surowe	Duck, domesticated, meat only, raw	135	18.3	6.0	0.9
168295	Wieprzowina, solona, szynka, bez kości, ekstra chuda i zwykła, niegotowana	Pork, cured, ham, boneless, extra lean and regular, unheated	162	18.3	8.4	2.3
174577	Kielbasa polska, wieprzowina	Polish sausage, pork	326	14.1	28.7	1.6
172968	Parówka, mięsna	Frankfurter, meat	290	10.3	25.8	4.2
168277	Wieprzowina, solona, boczek, niegotowany	Pork, cured, bacon, unprepared	393	13.7	37.1	0.0
