sourceId	namePl	nameEn	kcal	protein	fat	carbs
170567	Orzechy, migdały	Nuts, almonds	579	21.2	49.9	21.6
170187	Orzechy włoskie angielskie	Nuts, walnuts, english	654	15.2	65.2	13.7
170581	Orzechy, leszczyna zwyczajna	Nuts, hazelnuts or filberts	628	15.0	60.8	16.7
170162	Orzechy, nerkowce, surowe	Nuts, cashew nuts, raw	553	18.2	43.9	30.2
170184	Orzechy pistacjowe, surowe	Nuts, pistachio nuts, raw	560	20.2	45.3	27.2
170182	Orzechy pekan	Nuts, pecans	691	9.2	72.0	13.9
170569	Orzechy, brazylijskie, suszone, niebielone	Nuts, brazilnuts, dried, unblanched	659	14.3	67.1	11.7
170178	Orzechy makadamia, surowe	Nuts, macadamia nuts, raw	718	7.9	75.8	13.8
170562	Nasiona, jądra nasion słonecznika, suszone	Seeds, sunflower seed kernels, dried	584	20.8	51.5	20.0
170556	Nasiona, jądra nasion dyni i kabaczka, suszone	Seeds, pumpkin and squash seed kernels, dried	559	30.2	49.1	10.7
170150	Nasiona, nasiona sezamu, całe, suszone	Seeds, sesame seeds, whole, dried	573	17.7	49.7	23.5
168604	Nasiona, masło sezamowe, tahina	Seeds, sesame butter, tahini, type of kernels unspecified	592	17.4	53.0	21.5
169414	Nasiona, len zwyczajny	Seeds, flaxseed	534	18.3	42.2	28.9
170554	Nasiona, nasiona chia, suszone	Seeds, chia seeds, dried	486	16.5	30.7	42.1
170148	Nasiona, nasiona konopi, bez skorupki	Seeds, hemp seed, hulled	553	31.6	48.8	8.7
