sourceId	namePl	nameEn	kcal	protein	fat	carbs
175167	Ryba, łosoś, atlantycki, hodowlany, surowy	Fish, salmon, Atlantic, farmed, raw	208	20.4	13.4	0.0
173686	Łosoś atlantycki dziki, surowy	Fish, salmon, Atlantic, wild, raw	142	19.8	6.3	0.0
171955	Ryba, dorsz atlantycki, surowy	Fish, cod, Atlantic, raw	82	17.8	0.7	0.0
173706	Ryba, tuńczyk błękitny, świeży, surowy	Fish, tuna, fresh, bluefin, raw	144	23.3	4.9	0.0
171986	Ryba, tuńczyk jasny, w puszce w wodzie, bez soli, osączone	Fish, tuna, light, canned in water, without salt, drained solids	116	25.5	0.8	0.0
175119	Ryba, makrela atlantycka, surowa	Fish, mackerel, Atlantic, raw	205	18.6	13.9	0.0
175116	Ryba, śledź atlantycki, surowy	Fish, herring, Atlantic, raw	158	18.0	9.0	0.0
175153	Ryba, pstrąg, mieszane gatunki, surowy	Fish, trout, mixed species, raw	148	20.8	6.6	0.0
173725	Ryba, mintaj, surowy	Fish, pollock, Alaska, raw	76	17.2	0.8	0.0
174200	Ryba, halibut atlantycki i pacyficzny, surowy	Fish, halibut, Atlantic and Pacific, raw	91	18.6	1.3	0.0
174196	Ryba, ryba płaska (flądra i sola), surowa	Fish, flatfish (flounder and sole species), raw	70	12.4	1.9	0.0
175139	Ryba, sardynka, atlantycka, konserwowana w oleju, odcedzona, ze stosami	Fish, sardine, Atlantic, canned in oil, drained solids with bone	208	24.6	11.5	0.0
175176	Ryba, tilapia, surowa	Fish, tilapia, raw	96	20.1	1.7	0.0
175165	Ryba, sum, kanałowy, hodowlany, surowy	Fish, catfish, channel, farmed, raw	119	15.2	5.9	0.0
175179	Skorupiaki, krewetka, surowa	Crustaceans, shrimp, raw	85	20.1	0.5	0.0
175142	Ryba, okoń morski, mieszane gatunki, surowy	Fish, sea bass, mixed species, raw	97	18.4	2.0	0.0
